#       rho               z           Re density       Im density
     0.471370081     0.309074472      0.090513448      0.000000000
     0.471370081     0.927406866      0.091572271      0.000000000
     0.471370081     1.546291032      0.092091863      0.000000000
     0.471370081     2.166099581      0.091477314      0.000000000
     0.471370081     2.787212382      0.091290657      0.000000000
     0.471370081     3.410019700      0.091812416      0.000000000
     0.471370081     4.034925580      0.091470939      0.000000000
     0.471370081     4.662351564      0.088859528      0.000000000
     0.471370081     5.292740862      0.083268060      0.000000000
     0.471370081     5.926563084      0.072137012      0.000000000
     0.471370081     6.564319719      0.052305975      0.000000000
     0.471370081     7.206550557      0.028886496      0.000000000
     0.471370081     7.853841317      0.011829093      0.000000000
     0.471370081     8.506832843      0.003822744      0.000000000
     0.471370081     9.166232324      0.001125463      0.000000000
     0.471370081     9.832827187      0.000343931      0.000000000
     0.471370081    10.507502518      0.000108811      0.000000000
     0.471370081    11.191263275      0.000033634      0.000000000
     0.471370081    11.885263031      0.000010342      0.000000000
     0.471370081    12.590841867      0.000003308      0.000000000
     0.471370081    13.309577325      0.000001054      0.000000000
     0.471370081    14.043354475      0.000000285      0.000000000
     0.471370081    14.794464838      0.000000055      0.000000000
     0.471370081    15.565750362      0.000000007      0.000000000
     0.471370081    16.360820723      0.000000001      0.000000000
     0.471370081    17.184396135      0.000000000      0.000000000
     0.471370081    18.042878718      0.000000000      0.000000000
     0.471370081    18.945374484      0.000000000      0.000000000
     0.471370081    19.905702258      0.000000000      0.000000000
     0.471370081    20.946907526      0.000000000      0.000000000
     0.471370081    22.113746483      0.000000000      0.000000000
     0.471370081    23.523522399      0.000000000      0.000000000
     1.082254762     0.309074472      0.091731315      0.000000000
     1.082254762     0.927406866      0.092078024      0.000000000
     1.082254762     1.546291032      0.091877562      0.000000000
     1.082254762     2.166099581      0.091294909      0.000000000
     1.082254762     2.787212382      0.091409487      0.000000000
     1.082254762     3.410019700      0.091873441      0.000000000
     1.082254762     4.034925580      0.091183815      0.000000000
     1.082254762     4.662351564      0.088189308      0.000000000
     1.082254762     5.292740862      0.082139715      0.000000000
     1.082254762     5.926563084      0.070136334      0.000000000
     1.082254762     6.564319719      0.049660064      0.000000000
     1.082254762     7.206550557      0.026735066      0.000000000
     1.082254762     7.853841317      0.010742776      0.000000000
     1.082254762     8.506832843      0.003450894      0.000000000
     1.082254762     9.166232324      0.001023924      0.000000000
     1.082254762     9.832827187      0.000316559      0.000000000
     1.082254762    10.507502518      0.000100760      0.000000000
     1.082254762    11.191263275      0.000031271      0.000000000
     1.082254762    11.885263031      0.000009680      0.000000000
     1.082254762    12.590841867      0.000003117      0.000000000
     1.082254762    13.309577325      0.000000994      0.000000000
     1.082254762    14.043354475      0.000000267      0.000000000
     1.082254762    14.794464838      0.000000051      0.000000000
     1.082254762    15.565750362      0.000000006      0.000000000
     1.082254762    16.360820723      0.000000000      0.000000000
     1.082254762    17.184396135      0.000000000      0.000000000
     1.082254762    18.042878718      0.000000000      0.000000000
     1.082254762    18.945374484      0.000000000      0.000000000
     1.082254762    19.905702258      0.000000000      0.000000000
     1.082254762    20.946907526      0.000000000      0.000000000
     1.082254762    22.113746483      0.000000000      0.000000000
     1.082254762    23.523522399      0.000000000      0.000000000
     1.697377299     0.309074472      0.092032667      0.000000000
     1.697377299     0.927406866      0.091823365      0.000000000
     1.697377299     1.546291032      0.091395142      0.000000000
     1.697377299     2.166099581      0.091254943      0.000000000
     1.697377299     2.787212382      0.091668757      0.000000000
     1.697377299     3.410019700      0.091825731      0.000000000
     1.697377299     4.034925580      0.090480650      0.000000000
     1.697377299     4.662351564      0.086834630      0.000000000
     1.697377299     5.292740862      0.079857406      0.000000000
     1.697377299     5.926563084      0.066234456      0.000000000
     1.697377299     6.564319719      0.044892637      0.000000000
     1.697377299     7.206550557      0.023119678      0.000000000
     1.697377299     7.853841317      0.009005338      0.000000000
     1.697377299     8.506832843      0.002871459      0.000000000
     1.697377299     9.166232324      0.000865636      0.000000000
     1.697377299     9.832827187      0.000273065      0.000000000
     1.697377299    10.507502518      0.000087784      0.000000000
     1.697377299    11.191263275      0.000027446      0.000000000
     1.697377299    11.885263031      0.000008602      0.000000000
     1.697377299    12.590841867      0.000002803      0.000000000
     1.697377299    13.309577325      0.000000894      0.000000000
     1.697377299    14.043354475      0.000000236      0.000000000
     1.697377299    14.794464838      0.000000044      0.000000000
     1.697377299    15.565750362      0.000000005      0.000000000
     1.697377299    16.360820723      0.000000000      0.000000000
     1.697377299    17.184396135      0.000000000      0.000000000
     1.697377299    18.042878718      0.000000000      0.000000000
     1.697377299    18.945374484      0.000000000      0.000000000
     1.697377299    19.905702258      0.000000000      0.000000000
     1.697377299    20.946907526      0.000000000      0.000000000
     1.697377299    22.113746483      0.000000000      0.000000000
     1.697377299    23.523522399      0.000000000      0.000000000
     2.314313455     0.309074472      0.091359794      0.000000000
     2.314313455     0.927406866      0.091258129      0.000000000
     2.314313455     1.546291032      0.091268024      0.000000000
     2.314313455     2.166099581      0.091578789      0.000000000
     2.314313455     2.787212382      0.091881393      0.000000000
     2.314313455     3.410019700      0.091335011      0.000000000
     2.314313455     4.034925580      0.089073929      0.000000000
     2.314313455     4.662351564      0.084510067      0.000000000
     2.314313455     5.292740862      0.075902246      0.000000000
     2.314313455     5.926563084      0.060003939      0.000000000
     2.314313455     6.564319719      0.038155163      0.000000000
     2.314313455     7.206550557      0.018505861      0.000000000
     2.314313455     7.853841317      0.006939381      0.000000000
     2.314313455     8.506832843      0.002205615      0.000000000
     2.314313455     9.166232324      0.000682595      0.000000000
     2.314313455     9.832827187      0.000221189      0.000000000
     2.314313455    10.507502518      0.000071999      0.000000000
     2.314313455    11.191263275      0.000022769      0.000000000
     2.314313455    11.885263031      0.000007269      0.000000000
     2.314313455    12.590841867      0.000002406      0.000000000
     2.314313455    13.309577325      0.000000766      0.000000000
     2.314313455    14.043354475      0.000000198      0.000000000
     2.314313455    14.794464838      0.000000036      0.000000000
     2.314313455    15.565750362      0.000000004      0.000000000
     2.314313455    16.360820723      0.000000000      0.000000000
     2.314313455    17.184396135      0.000000000      0.000000000
     2.314313455    18.042878718      0.000000000      0.000000000
     2.314313455    18.945374484      0.000000000      0.000000000
     2.314313455    19.905702258      0.000000000      0.000000000
     2.314313455    20.946907526      0.000000000      0.000000000
     2.314313455    22.113746483      0.000000000      0.000000000
     2.314313455    23.523522399      0.000000000      0.000000000
     2.932932180     0.309074472      0.091375097      0.000000000
     2.932932180     0.927406866      0.091488293      0.000000000
     2.932932180     1.546291032      0.091715414      0.000000000
     2.932932180     2.166099581      0.091881998      0.000000000
     2.932932180     2.787212382      0.091505170      0.000000000
     2.932932180     3.410019700      0.089926708      0.000000000
     2.932932180     4.034925580      0.086607733      0.000000000
     2.932932180     4.662351564      0.080635322      0.000000000
     2.932932180     5.292740862      0.069434835      0.000000000
     2.932932180     5.926563084      0.051152768      0.000000000
     2.932932180     6.564319719      0.029972762      0.000000000
     2.932932180     7.206550557      0.013559392      0.000000000
     2.932932180     7.853841317      0.004900856      0.000000000
     2.932932180     8.506832843      0.001570309      0.000000000
     2.932932180     9.166232324      0.000504686      0.000000000
     2.932932180     9.832827187      0.000168597      0.000000000
     2.932932180    10.507502518      0.000055648      0.000000000
     2.932932180    11.191263275      0.000017891      0.000000000
     2.932932180    11.885263031      0.000005854      0.000000000
     2.932932180    12.590841867      0.000001972      0.000000000
     2.932932180    13.309577325      0.000000623      0.000000000
     2.932932180    14.043354475      0.000000156      0.000000000
     2.932932180    14.794464838      0.000000027      0.000000000
     2.932932180    15.565750362      0.000000003      0.000000000
     2.932932180    16.360820723      0.000000000      0.000000000
     2.932932180    17.184396135      0.000000000      0.000000000
     2.932932180    18.042878718      0.000000000      0.000000000
     2.932932180    18.945374484      0.000000000      0.000000000
     2.932932180    19.905702258      0.000000000      0.000000000
     2.932932180    20.946907526      0.000000000      0.000000000
     2.932932180    22.113746483      0.000000000      0.000000000
     2.932932180    23.523522399      0.000000000      0.000000000
     3.553459424     0.309074472      0.091870867      0.000000000
     3.553459424     0.927406866      0.091881220      0.000000000
     3.553459424     1.546291032      0.091767102      0.000000000
     3.553459424     2.166099581      0.091228857      0.000000000
     3.553459424     2.787212382      0.089833884      0.000000000
     3.553459424     3.410019700      0.087138569      0.000000000
     3.553459424     4.034925580      0.082478174      0.000000000
     3.553459424     4.662351564      0.074075260      0.000000000
     3.553459424     5.292740862      0.059582276      0.000000000
     3.553459424     5.926563084      0.040015025      0.000000000
     3.553459424     6.564319719      0.021351772      0.000000000
     3.553459424     7.206550557      0.009007169      0.000000000
     3.553459424     7.853841317      0.003175416      0.000000000
     3.553459424     8.506832843      0.001044189      0.000000000
     3.553459424     9.166232324      0.000351855      0.000000000
     3.553459424     9.832827187      0.000121115      0.000000000
     3.553459424    10.507502518      0.000040595      0.000000000
     3.553459424    11.191263275      0.000013356      0.000000000
     3.553459424    11.885263031      0.000004504      0.000000000
     3.553459424    12.590841867      0.000001543      0.000000000
     3.553459424    13.309577325      0.000000479      0.000000000
     3.553459424    14.043354475      0.000000115      0.000000000
     3.553459424    14.794464838      0.000000019      0.000000000
     3.553459424    15.565750362      0.000000002      0.000000000
     3.553459424    16.360820723      0.000000000      0.000000000
     3.553459424    17.184396135      0.000000000      0.000000000
     3.553459424    18.042878718      0.000000000      0.000000000
     3.553459424    18.945374484      0.000000000      0.000000000
     3.553459424    19.905702258      0.000000000      0.000000000
     3.553459424    20.946907526      0.000000000      0.000000000
     3.553459424    22.113746483      0.000000000      0.000000000
     3.553459424    23.523522399      0.000000000      0.000000000
     4.176228811     0.309074472      0.091154854      0.000000000
     4.176228811     0.927406866      0.090864264      0.000000000
     4.176228811     1.546291032      0.090143088      0.000000000
     4.176228811     2.166099581      0.088741331      0.000000000
     4.176228811     2.787212382      0.086320947      0.000000000
     4.176228811     3.410019700      0.082281715      0.000000000
     4.176228811     4.034925580      0.075271282      0.000000000
     4.176228811     4.662351564      0.063357443      0.000000000
     4.176228811     5.292740862      0.046330752      0.000000000
     4.176228811     5.926563084      0.027947025      0.000000000
     4.176228811     6.564319719      0.013566225      0.000000000
     4.176228811     7.206550557      0.005404753      0.000000000
     4.176228811     7.853841317      0.001902714      0.000000000
     4.176228811     8.506832843      0.000655339      0.000000000
     4.176228811     9.166232324      0.000232302      0.000000000
     4.176228811     9.832827187      0.000082076      0.000000000
     4.176228811    10.507502518      0.000028029      0.000000000
     4.176228811    11.191263275      0.000009511      0.000000000
     4.176228811    11.885263031      0.000003319      0.000000000
     4.176228811    12.590841867      0.000001149      0.000000000
     4.176228811    13.309577325      0.000000347      0.000000000
     4.176228811    14.043354475      0.000000079      0.000000000
     4.176228811    14.794464838      0.000000012      0.000000000
     4.176228811    15.565750362      0.000000001      0.000000000
     4.176228811    16.360820723      0.000000000      0.000000000
     4.176228811    17.184396135      0.000000000      0.000000000
     4.176228811    18.042878718      0.000000000      0.000000000
     4.176228811    18.945374484      0.000000000      0.000000000
     4.176228811    19.905702258      0.000000000      0.000000000
     4.176228811    20.946907526      0.000000000      0.000000000
     4.176228811    22.113746483      0.000000000      0.000000000
     4.176228811    23.523522399      0.000000000      0.000000000
     4.801625587     0.309074472      0.088008656      0.000000000
